MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,speed_calc,acceleration,delta_heading,speed_ma,acceleration_ma,delta_heading_ma,LAT_pred,LON_pred,prediction_error
240729000,2020-01-01 00:00:07,27.32778,-88.23748,13.0,145.0,146.0,0.0,,0.0,0.0,,0.0,27.32778,-88.23748,0.0
240788000,2020-01-01 00:00:12,16.89682,-67.27329,12.6,92.1,89.0,0.0,,0.0,0.0,,0.0,16.89682,-67.27329,0.0
241139000,2020-01-01 00:00:06,29.73567,-95.14604,7.0,93.1,92.0,0.0,,0.0,0.0,,0.0,29.73567,-95.14604,0.0
241289000,2020-01-01 00:00:07,24.57807,-84.16093,0.8,193.4,296.0,0.0,,0.0,0.0,,0.0,24.57807,-84.16093,0.0
241294000,2020-01-01 00:00:56,29.72828,-95.0205,0.0,220.5,217.0,0.0,,0.0,0.0,,0.0,29.72828,-95.0205,0.0
241330000,2020-01-01 00:00:04,32.44051,-118.71342,11.7,238.9,243.0,0.0,,0.0,0.0,,0.0,32.44051,-118.71342,0.0
241425000,2020-01-01 00:00:36,30.03765,-93.33327,0.0,96.4,136.0,0.0,,0.0,0.0,,0.0,30.03765,-93.33327,0.0
241530000,2020-01-01 00:00:02,31.27794,-117.26972,12.7,343.8,345.0,0.0,,0.0,0.0,,0.0,31.27794,-117.26972,0.0
241592000,2020-01-01 00:00:05,24.12916,-84.90037,14.1,283.5,281.0,0.0,,0.0,0.0,,0.0,24.12916,-84.90037,0.0
244180416,2020-01-01 00:00:09,26.75916,-80.04315,0.0,146.9,511.0,0.0,,0.0,0.0,,0.0,26.75916,-80.04315,0.0
244203000,2020-01-01 00:00:49,27.84296,-97.07279,0.0,352.7,258.0,0.0,,0.0,0.0,,0.0,27.84296,-97.07279,0.0
245227000,2020-01-01 00:00:08,30.67865,-81.46391,0.0,111.5,27.0,0.0,,0.0,0.0,,0.0,30.67865,-81.46391,0.0
246100000,2020-01-01 00:00:09,24.63638,-84.17574,18.8,292.4,291.0,0.0,,0.0,0.0,,0.0,24.63638,-84.17574,0.0
246244000,2020-01-01 00:00:06,29.73202,-95.27597,0.0,344.0,344.0,0.0,,0.0,0.0,,0.0,29.73202,-95.27597,0.0
246506000,2020-01-01 00:00:06,18.51715,-65.70062,15.7,102.0,102.0,0.0,,0.0,0.0,,0.0,18.51715,-65.70062,0.0
246506000,2020-01-01 00:01:17,18.51611,-65.6953,15.7,101.1,100.0,8.066612570615447,0.11361426155796404,-2.0,4.033306285307724,0.11361426155796404,-1.0,18.51611,-65.6953,0.0
246714000,2020-01-01 00:02:04,29.28407,-94.524,0.0,1.2,172.0,0.0,,0.0,0.0,,0.0,29.28407,-94.524,0.0
246887000,2020-01-01 00:00:13,32.26243,-79.16918,11.1,230.5,229.0,0.0,,0.0,0.0,,0.0,32.26243,-79.16918,0.0
247289800,2020-01-01 00:00:00,38.97312,-75.1248,16.4,335.6,337.0,0.0,,0.0,0.0,,0.0,38.97312,-75.1248,0.0
247311100,2020-01-01 00:00:06,17.90833,-68.27133,18.9,105.0,102.0,0.0,,0.0,0.0,,0.0,17.90833,-68.27133,0.0
247399000,2020-01-01 00:00:12,20.6595,-154.28467,11.0,99.0,102.0,0.0,,0.0,0.0,,0.0,20.6595,-154.28467,0.0
247405800,2020-01-01 00:00:03,36.99482,-76.01654,17.5,132.3,133.0,0.0,,0.0,0.0,,0.0,36.99482,-76.01654,0.0
248225000,2020-01-01 00:00:00,38.60115,-76.43083,17.6,193.3,192.0,0.0,,0.0,0.0,,0.0,38.60115,-76.43083,0.0
248225000,2020-01-01 00:01:06,38.59589,-76.43241,17.6,193.5,192.0,9.102819592356756,0.13792150897510236,0.0,4.551409796178378,0.13792150897510236,0.0,38.59589,-76.43241,0.0
248278000,2020-01-01 00:01:35,47.25436,-122.37876,0.0,90.8,91.0,0.0,,0.0,0.0,,0.0,47.25436,-122.37876,0.0
