MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,speed_calc,acceleration,delta_heading,speed_ma,acceleration_ma,delta_heading_ma,LAT_pred,LON_pred,prediction_error,Label
367145870,2020-01-01 00:00:00,41.53053,-70.23945,26.1,334.0,330.0,0.0,,0.0,0.0,,0.0,41.53053,-70.23945,0.0,Normal
367145440,2020-01-01 00:00:00,27.8779,-97.04405,0.0,360.0,511.0,0.0,,0.0,0.0,,0.0,27.8779,-97.04405,0.0,Normal
368555000,2020-01-01 00:00:00,47.63037,-122.38393,0.0,327.3,511.0,0.0,,0.0,0.0,,0.0,47.63037,-122.38393,0.0,Normal
367141370,2020-01-01 00:00:00,37.04853,-89.17139,5.2,26.1,511.0,0.0,,0.0,0.0,,0.0,37.04853,-89.17139,0.0,Normal
367141180,2020-01-01 00:00:00,41.29385,-72.90448,0.0,301.2,94.0,0.0,,0.0,0.0,,0.0,41.29385,-72.90448,0.0,Normal
367140960,2020-01-01 00:00:00,30.25414,-91.2705,0.0,226.5,511.0,0.0,,0.0,0.0,,0.0,30.25414,-91.2705,0.0,Normal
367140820,2020-01-01 00:00:00,37.04439,-89.30173,5.0,125.6,123.0,0.0,,0.0,0.0,,0.0,37.04439,-89.30173,0.0,Normal
368826000,2020-01-01 00:00:00,57.05004,-135.34549,0.1,314.0,134.0,0.0,,0.0,0.0,,0.0,57.05004,-135.34549,0.0,Normal
367136690,2020-01-01 00:00:00,31.76209,-88.11561,6.5,81.9,88.0,0.0,,0.0,0.0,,0.0,31.76209,-88.11561,0.0,Normal
367128430,2020-01-01 00:00:00,21.31337,-157.86605,0.1,194.3,511.0,0.0,,0.0,0.0,,0.0,21.31337,-157.86605,0.0,Normal
338179749,2020-01-01 00:00:00,34.16233,-119.22455,0.0,118.8,511.0,0.0,,0.0,0.0,,0.0,34.16233,-119.22455,0.0,Normal
369108000,2020-01-01 00:00:00,28.43548,-89.02475,0.1,67.0,26.0,0.0,,0.0,0.0,,0.0,28.43548,-89.02475,0.0,Normal
367078850,2020-01-01 00:00:00,40.64674,-74.10753,5.6,88.5,102.0,0.0,,0.0,0.0,,0.0,40.64674,-74.10753,0.0,Normal
367328780,2020-01-01 00:00:00,38.02161,-122.38016,9.6,236.8,238.0,0.0,,0.0,0.0,,0.0,38.02161,-122.38016,0.0,Normal
368092280,2020-01-01 00:00:00,40.10227,-74.04535,0.0,360.0,511.0,0.0,,0.0,0.0,,0.0,40.10227,-74.04535,0.0,Normal
316017162,2020-01-01 00:00:00,48.85404,-123.49796,0.0,132.6,220.0,0.0,,0.0,0.0,,0.0,48.85404,-123.49796,0.0,Normal
367469190,2020-01-01 00:00:00,39.09345,-84.50224,0.0,215.8,511.0,0.0,,0.0,0.0,,0.0,39.09345,-84.50224,0.0,Normal
316018851,2020-01-01 00:00:00,49.31183,-123.10683,0.1,75.0,6.0,0.0,,0.0,0.0,,0.0,49.31183,-123.10683,0.0,Normal
367456770,2020-01-01 00:00:00,30.42435,-91.1958,0.0,184.5,6.0,0.0,,0.0,0.0,,0.0,30.42435,-91.1958,0.0,Normal
367452650,2020-01-01 00:00:00,29.27163,-89.35193,0.0,282.1,332.0,0.0,,0.0,0.0,,0.0,29.27163,-89.35193,0.0,Normal
316020869,2020-01-01 00:00:00,49.02482,-123.14814,0.0,111.0,29.0,0.0,,0.0,0.0,,0.0,49.02482,-123.14814,0.0,Normal
316014995,2020-01-01 00:00:00,49.02509,-123.14779,0.0,3.8,209.0,0.0,,0.0,0.0,,0.0,49.02509,-123.14779,0.0,Normal
367447520,2020-01-01 00:00:00,42.31095,-70.9813,27.8,321.3,321.0,0.0,,0.0,0.0,,0.0,42.31095,-70.9813,0.0,Normal
316021522,2020-01-01 00:00:00,48.74727,-123.22975,0.1,103.2,511.0,0.0,,0.0,0.0,,0.0,48.74727,-123.22975,0.0,Normal
368037750,2020-01-01 00:00:00,25.89518,-80.12786,0.0,109.2,271.0,0.0,,0.0,0.0,,0.0,25.89518,-80.12786,0.0,Normal
367437640,2020-01-01 00:00:00,27.84283,-97.07587,0.0,286.5,511.0,0.0,,0.0,0.0,,0.0,27.84283,-97.07587,0.0,Normal
368039750,2020-01-01 00:00:00,38.57135,-90.2318,0.0,4.1,511.0,0.0,,0.0,0.0,,0.0,38.57135,-90.2318,0.0,Normal
316027734,2020-01-01 00:00:00,49.29443,-123.02426,20.2,91.8,511.0,0.0,,0.0,0.0,,0.0,49.29443,-123.02426,0.0,Normal
367427270,2020-01-01 00:00:00,27.82405,-97.43859,0.6,103.0,103.0,0.0,,0.0,0.0,,0.0,27.82405,-97.43859,0.0,Normal
316021351,2020-01-01 00:00:00,49.29479,-123.13289,0.0,318.2,511.0,0.0,,0.0,0.0,,0.0,49.29479,-123.13289,0.0,Normal
367473510,2020-01-01 00:00:00,32.91057,-79.94514,0.1,85.6,511.0,0.0,,0.0,0.0,,0.0,32.91057,-79.94514,0.0,Normal
367476950,2020-01-01 00:00:00,41.67211,-88.02778,0.0,267.3,246.0,0.0,,0.0,0.0,,0.0,41.67211,-88.02778,0.0,Normal
367477410,2020-01-01 00:00:00,39.25929,-74.99115,0.0,360.0,511.0,0.0,,0.0,0.0,,0.0,39.25929,-74.99115,0.0,Normal
367505780,2020-01-01 00:00:00,28.10397,-96.9372,5.4,35.5,511.0,0.0,,0.0,0.0,,0.0,28.10397,-96.9372,0.0,Normal
316006356,2020-01-01 00:00:00,48.41476,-123.38603,0.1,271.4,511.0,0.0,,0.0,0.0,,0.0,48.41476,-123.38603,0.0,Normal
316006922,2020-01-01 00:00:00,48.65208,-123.44971,0.0,221.4,77.0,0.0,,0.0,0.0,,0.0,48.65208,-123.44971,0.0,Normal
367504910,2020-01-01 00:00:00,29.18134,-94.83056,12.2,51.8,50.0,0.0,,0.0,0.0,,0.0,29.18134,-94.83056,0.0,Normal
316007566,2020-01-01 00:00:00,49.1928,-122.92066,0.0,280.1,511.0,0.0,,0.0,0.0,,0.0,49.1928,-122.92066,0.0,Normal
309955000,2020-01-01 00:00:00,36.87279,-121.45307,9.9,152.3,152.0,9.9,9.6,-155.7,5.1000000000000005,4.8,-77.85,36.872889572949305,-121.45298595159663,0.00013030313250728953,Spoofed
316009843,2020-01-01 00:00:00,49.30918,-123.10092,0.2,172.4,511.0,0.0,,0.0,0.0,,0.0,49.30918,-123.10092,0.0,Normal
303388000,2020-01-01 00:00:00,55.8616,-162.40918,0.3,308.0,331.0,0.3,0.0,0.0,0.3,0.0,0.0,55.86166200482411,-162.40931910470889,0.00015229812293321847,Spoofed
368010950,2020-01-01 00:00:00,30.51792,-91.21662,1.8,67.1,239.0,0.0,,0.0,0.0,,0.0,30.51792,-91.21662,0.0,Normal
316011441,2020-01-01 00:00:00,49.29844,-123.02939,0.0,27.2,511.0,0.0,,0.0,0.0,,0.0,49.29844,-123.02939,0.0,Normal
367493450,2020-01-01 00:00:00,29.62758,-92.27007,4.8,205.9,207.0,0.0,,0.0,0.0,,0.0,29.62758,-92.27007,0.0,Normal
368011470,2020-01-01 00:00:00,29.62054,-89.89794,0.0,225.6,511.0,0.0,,0.0,0.0,,0.0,29.62054,-89.89794,0.0,Normal
368018190,2020-01-01 00:00:00,30.70735,-88.04331,0.0,125.0,300.0,0.0,,0.0,0.0,,0.0,30.70735,-88.04331,0.0,Normal
367481540,2020-01-01 00:00:00,38.38932,-85.63177,3.5,28.1,511.0,0.0,,0.0,0.0,,0.0,38.38932,-85.63177,0.0,Normal
316013431,2020-01-01 00:00:00,48.41467,-123.38619,0.0,303.9,246.0,0.0,,0.0,0.0,,0.0,48.41467,-123.38619,0.0,Normal
367427260,2020-01-01 00:00:00,28.64526,-96.55337,0.0,6.6,269.0,0.0,,0.0,0.0,,0.0,28.64526,-96.55337,0.0,Normal
367423730,2020-01-01 00:00:00,30.03932,-93.3345,0.0,244.6,511.0,0.0,,0.0,0.0,,0.0,30.03932,-93.3345,0.0,Normal
316029000,2020-01-01 00:00:00,43.64248,-79.36748,0.0,208.7,242.0,0.0,,0.0,0.0,,0.0,43.64248,-79.36748,0.0,Normal
367422720,2020-01-01 00:00:00,30.15861,-90.99735,0.0,19.7,349.0,0.0,,0.0,0.0,,0.0,30.15861,-90.99735,0.0,Normal
319095200,2020-01-01 00:00:00,26.51792,-78.95575,12.5,296.3,299.0,0.0,,0.0,0.0,,0.0,26.51792,-78.95575,0.0,Normal
367371790,2020-01-01 00:00:00,27.94067,-82.44217,0.0,284.0,116.0,0.0,,0.0,0.0,,0.0,27.94067,-82.44217,0.0,Normal
319105900,2020-01-01 00:00:00,26.11521,-80.1081,0.0,327.4,511.0,0.0,,0.0,0.0,,0.0,26.11521,-80.1081,0.0,Normal
319107000,2020-01-01 00:00:00,26.06067,-80.1325,0.0,317.4,177.0,0.0,,0.0,0.0,,0.0,26.06067,-80.1325,0.0,Normal
319116200,2020-01-01 00:00:00,26.10237,-80.11743,0.0,124.7,79.0,0.0,,0.0,0.0,,0.0,26.10237,-80.11743,0.0,Normal
367366890,2020-01-01 00:00:00,46.11377,-122.97933,7.5,140.0,136.0,0.0,,0.0,0.0,,0.0,46.11377,-122.97933,0.0,Normal
367366340,2020-01-01 00:00:00,30.0631,-90.89192,2.3,121.3,324.0,0.0,,0.0,0.0,,0.0,30.0631,-90.89192,0.0,Normal
367364760,2020-01-01 00:00:00,28.93456,-95.32173,0.6,142.4,181.0,0.0,,0.0,0.0,,0.0,28.93456,-95.32173,0.0,Normal
367354360,2020-01-01 00:00:00,41.29707,-72.08584,11.9,8.7,5.0,0.0,,0.0,0.0,,0.0,41.29707,-72.08584,0.0,Normal
368083410,2020-01-01 00:00:00,27.81027,-97.36303,10.3,270.4,269.0,0.0,,0.0,0.0,,0.0,27.81027,-97.36303,0.0,Normal
368083770,2020-01-01 00:00:00,46.1079,-122.95912,0.0,360.0,511.0,0.0,,0.0,0.0,,0.0,46.1079,-122.95912,0.0,Normal
367348340,2020-01-01 00:00:00,47.65819,-122.38121,0.0,321.6,511.0,0.0,,0.0,0.0,,0.0,47.65819,-122.38121,0.0,Normal
367343230,2020-01-01 00:00:00,26.08246,-80.11612,0.0,198.0,267.0,0.0,,0.0,0.0,,0.0,26.08246,-80.11612,0.0,Normal
368088860,2020-01-01 00:00:00,41.64196,-87.5862,0.0,360.0,511.0,0.0,,0.0,0.0,,0.0,41.64196,-87.5862,0.0,Normal
367336180,2020-01-01 00:00:00,56.02945,-132.68705,9.0,325.5,511.0,0.0,,0.0,0.0,,0.0,56.02945,-132.68705,0.0,Normal
367376370,2020-01-01 00:00:00,41.49156,-81.71738,0.0,0.0,511.0,0.0,,0.0,0.0,,0.0,41.49156,-81.71738,0.0,Normal
367330510,2020-01-01 00:00:00,33.73673,-118.21468,9.6,8.4,7.0,0.0,,0.0,0.0,,0.0,33.73673,-118.21468,0.0,Normal
367380280,2020-01-01 00:00:00,46.15706,-123.40233,0.0,360.0,133.0,0.0,,0.0,0.0,,0.0,46.15706,-123.40233,0.0,Normal
319003900,2020-01-01 00:00:00,26.06047,-80.13119,0.0,357.1,1.0,0.0,,0.0,0.0,,0.0,26.06047,-80.13119,0.0,Normal
367421740,2020-01-01 00:00:00,29.92879,-89.98886,0.0,110.6,292.0,0.0,,0.0,0.0,,0.0,29.92879,-89.98886,0.0,Normal
316031048,2020-01-01 00:00:00,49.29049,-123.06088,0.0,4.5,319.0,0.0,,0.0,0.0,,0.0,49.29049,-123.06088,0.0,Normal
368051230,2020-01-01 00:00:00,40.7246,-73.97035,13.7,7.6,10.0,0.0,,0.0,0.0,,0.0,40.7246,-73.97035,0.0,Normal
367410250,2020-01-01 00:00:00,30.75148,-88.03605,5.0,14.1,511.0,0.0,,0.0,0.0,,0.0,30.75148,-88.03605,0.0,Normal
368055920,2020-01-01 00:00:00,29.74117,-95.16397,0.0,339.1,0.0,0.0,,0.0,0.0,,0.0,29.74117,-95.16397,0.0,Normal
316033399,2020-01-01 00:00:00,49.29073,-123.06072,0.0,299.1,318.0,0.0,,0.0,0.0,,0.0,49.29073,-123.06072,0.0,Normal
316033419,2020-01-01 00:00:00,48.68869,-123.40734,0.0,243.6,240.0,0.0,,0.0,0.0,,0.0,48.68869,-123.40734,0.0,Normal
367400840,2020-01-01 00:00:00,27.82507,-97.43794,102.3,360.0,511.0,0.0,,0.0,0.0,,0.0,27.82507,-97.43794,0.0,Normal
367395980,2020-01-01 00:00:00,36.7974,-76.29125,0.0,255.7,511.0,0.0,,0.0,0.0,,0.0,36.7974,-76.29125,0.0,Normal
367395270,2020-01-01 00:00:00,29.93455,-89.99903,0.0,304.3,304.0,0.0,,0.0,0.0,,0.0,29.93455,-89.99903,0.0,Normal
367395250,2020-01-01 00:00:00,37.01674,-76.34688,0.0,256.8,168.0,0.0,,0.0,0.0,,0.0,37.01674,-76.34688,0.0,Normal
367391830,2020-01-01 00:00:00,37.77568,-122.32632,28.9,276.1,275.0,0.0,,0.0,0.0,,0.0,37.77568,-122.32632,0.0,Normal
367389640,2020-01-01 00:00:00,37.81316,-122.45189,12.3,274.4,511.0,0.0,,0.0,0.0,,0.0,37.81316,-122.45189,0.0,Normal
368063930,2020-01-01 00:00:00,40.71045,-73.97588,11.2,208.9,207.0,0.0,,0.0,0.0,,0.0,40.71045,-73.97588,0.0,Normal
368064650,2020-01-01 00:00:00,33.72365,-118.27967,0.0,360.0,511.0,0.0,,0.0,0.0,,0.0,33.72365,-118.27967,0.0,Normal
319041200,2020-01-01 00:00:00,26.08982,-80.17566,0.0,57.8,2.0,0.0,,0.0,0.0,,0.0,26.08982,-80.17566,0.0,Normal
257844000,2020-01-01 00:00:00,28.2753,-78.32507,12.7,5.7,7.0,12.7,2.799999999999999,-146.60000000000002,7.633333333333333,4.133333333333333,-100.76666666666667,28.275231810163305,-78.32511627897973,8.24111509098044e-05,Spoofed
370273000,2020-01-01 00:00:00,26.39982,-78.79059,1.4,161.9,84.0,0.0,,0.0,0.0,,0.0,26.39982,-78.79059,0.0,Normal
367061620,2020-01-01 00:00:00,32.85583,-79.95312,0.0,214.1,511.0,0.0,,0.0,0.0,,0.0,32.85583,-79.95312,0.0,Normal
316013431,2020-01-01 00:00:00,48.431754168336674,-123.36910583166332,0.0,303.9,246.0,0.0,-17.6,110.59999999999997,8.833333333333334,1.1842378929335002e-15,-3.6000000000000085,48.43179376400236,-123.36909939991375,4.011463752050426e-05,Spoofed
248225000,2020-01-01 00:00:00,38.605508717434866,-76.42647128256513,17.6,193.3,192.0,17.6,8.700000000000001,123.60000000000001,8.833333333333334,5.833333333333335,39.43333333333333,38.60531902969653,-76.42661034040793,0.00023519889820974385,Spoofed
366637150,2020-01-01 00:00:00,47.5564,-122.34168,0.0,19.5,280.0,0.0,,0.0,0.0,,0.0,47.5564,-122.34168,0.0,Normal
366940000,2020-01-01 00:00:00,30.43599,-91.20048,0.0,222.1,511.0,0.0,,0.0,0.0,,0.0,30.43599,-91.20048,0.0,Normal
316001266,2020-01-01 00:00:00,49.18826234468938,-123.86575765531062,8.9,69.7,70.0,8.9,8.9,-245.0,3.0,-1.3333333333333328,-25.733333333333338,49.18818699739588,-123.86561821162769,0.0001584984395667571,Spoofed
366673090,2020-01-01 00:00:00,58.38296,-134.65099,0.0,322.3,196.0,0.0,,0.0,0.0,,0.0,58.38296,-134.65099,0.0,Normal
311256000,2020-01-01 00:00:00,25.94475014028056,-79.97190985971943,1.8,12.0,38.0,1.8,1.8,-291.9,6.466666666666668,-2.3666666666666663,-19.23333333333333,25.94475613917246,-79.97208286615589,0.0001731104091581246,Spoofed
9110192,2020-01-01 00:00:00,21.316350501002002,-157.878259498998,0.0,314.7,314.0,0.0,-0.1,239.7,4.333333333333333,-3.9999999999999996,67.89999999999999,21.316496571623862,-157.87824178697463,0.00014714055301843893,Spoofed
316001232,2020-01-01 00:00:00,48.74301164328658,-123.40352835671342,12.9,146.9,154.0,12.9,0.9000000000000004,35.900000000000006,8.299999999999999,4.300000000000001,39.900000000000006,48.74301188235614,-123.40362744402331,9.908759829448116e-05,Spoofed
255806153,2020-01-01 00:00:00,26.630440220440885,-79.64988977955912,12.0,111.0,120.0,12.0,12.0,-174.39999999999998,4.0,3.9666666666666672,2.6000000000000036,26.63030213657502,-79.64986807771541,0.00013977883971841794,Spoofed
212911000,2020-01-01 00:00:00,49.29028220440882,-123.06698779559117,0.0,285.4,180.0,0.0,0.0,258.2,0.03333333333333333,4.718447854656915e-16,-4.5666666666666815,49.290174996266,-123.067073729303,0.00013739792107118288,Spoofed
316011441,2020-01-01 00:00:00,49.31462236472946,-123.01320763527055,0.0,27.2,511.0,0.0,-0.1,-76.0,0.03333333333333333,-1.4999999999999993,-101.80000000000003,49.31447950361477,-123.01324896460076,0.00014871923757987196,Spoofed
366929710,2020-01-01 00:00:00,48.42213,-123.37241,3.7,327.8,151.0,0.0,,0.0,0.0,,0.0,48.42213,-123.37241,0.0,Normal
316021522,2020-01-01 00:00:00,48.7660074749499,-123.2110125250501,0.1,103.2,511.0,0.1,0.1,-195.90000000000003,1.5333333333333332,0.03333333333333393,-35.16666666666668,48.76604333123789,-123.2110123022331,3.585698029116497e-05,Spoofed
316018851,2020-01-01 00:00:00,49.32996627254509,-123.08869372745491,0.1,75.0,6.0,0.1,-12.8,-71.9,8.333333333333334,0.033333333333333805,-70.13333333333333,49.32996206122003,-123.08877782870225,8.420662125220293e-05,Spoofed
366562000,2020-01-01 00:00:00,33.76799,-118.22104,1.4,69.6,246.0,0.0,,0.0,0.0,,0.0,33.76799,-118.22104,0.0,Normal
319116200,2020-01-01 00:00:00,26.12616759519038,-80.09363240480961,0.0,124.7,79.0,0.0,-1.8,112.7,0.6,-5.866666666666667,-22.86666666666667,26.126021558010283,-80.0934919371256,0.0002026278071263256,Spoofed
319107000,2020-01-01 00:00:00,26.084367394789577,-80.10880260521041,0.0,317.4,177.0,0.0,0.0,192.7,0.6,2.9605947323337506e-16,4.50000000000001,26.084124325108288,-80.10876161988315,0.0002465008458661811,Spoofed
